,ChEMBL_ID,smiles,pIC50
141,CHEMBL139095,C=CS(=O)(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.619788758288394
142,CHEMBL4207750,CCS(=O)(=O)Nc1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cnc1OC,8.619788758288394
143,CHEMBL4460381,COc1cc(Nc2ncnc3cc(-c4cccs4)sc23)cc(OC)c1OC,8.602059991327963
144,CHEMBL4215076,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccc(F)cc5)nc4cn3)nc2)CC1,8.602059991327963
145,CHEMBL4099682,COc1ccc(Nc2nc(C)nc3c(Cc4ccccc4)cn(C)c23)cc1.Cl,8.585026652029182
146,CHEMBL341319,CN(CCO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.585026652029182
147,CHEMBL53062,COc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.585026652029182
148,CHEMBL287007,CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,8.585026652029182
149,CHEMBL4171764,Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,8.58335949266172
150,CHEMBL3623285,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CC[C@H](N(C)C)C1,8.568636235841012
151,CHEMBL3952157,COc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3o2)cc1,8.568636235841012
152,CHEMBL136511,C=CS(=O)(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.568636235841012
153,CHEMBL2048795,O=C1Cc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c2N1,8.55284196865778
154,CHEMBL163188,Cc1cccc(Nc2ncnc3cnc(N(C)C)cc23)c1,8.55284196865778
155,CHEMBL2048906,CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,8.537602002101044
156,CHEMBL3815161,O=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,8.534617148551582
157,CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,8.528708288941061
158,CHEMBL3828269,Cn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)cn1,8.527243550682787
159,CHEMBL473428,OCc1ccc(-c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)o1,8.522878745280337
160,CHEMBL250130,C[C@H](COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)N(C)C(=O)CO,8.522878745280337
161,CHEMBL3633929,CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2c1,8.522878745280337
162,CHEMBL214857,COCCN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,8.522878745280337
163,CHEMBL258270,CC(=O)N1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,8.522878745280337
164,CHEMBL125086,CCOc1cc2ncnc(Nc3cccc(-c4ccco4)c3)c2cc1OCC,8.522878745280337
165,CHEMBL4214567,O=C(Nc1nccs1)C(c1cc(F)ccc1O)N1Cc2ccccc2C1=O,8.522878745280337
166,CHEMBL3759725,COc1c(C(=O)NCCN(C)C)cccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,8.522878745280337
167,CHEMBL203725,CN1CCC(Oc2cccc3ncnc(Nc4ccc(F)c(Cl)c4)c23)CC1,8.522878745280337
168,CHEMBL3759986,OCc1cccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3s2)c1,8.522878745280337
169,CHEMBL215786,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC1CCN(C)CC1,8.522878745280337
170,CHEMBL79206,CN(CCO)Cc1ccc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,8.522878745280337
171,CHEMBL258940,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,8.522878745280337
172,CHEMBL2048796,O=C1Cc2c(cccc2Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)N1,8.522878745280337
173,CHEMBL53156,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,8.508638306165727
174,CHEMBL4245415,Cc1coc2ncnc(N(C)c3ccc(N(C)C)cc3)c12,8.508638306165727
175,CHEMBL4105329,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3cc(Cl)ccc3O)cc12,8.508638306165727
176,CHEMBL2048797,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5[nH]ccc45)c(Cl)c3)c21,8.508638306165727
177,CHEMBL165495,Cc1cccc(Nc2ncnc3cnc(N)cc23)c1,8.508638306165727
178,CHEMBL4206166,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCC(CO)CC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,8.494850021680094
179,CHEMBL340700,CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.494850021680094
180,CHEMBL4071058,CC(C)(C)OC(=O)NCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.494850021680094
181,CHEMBL128987,Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,8.494850021680094
182,CHEMBL127611,CN(CC(O)C(O)C(O)C(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.494850021680094
183,CHEMBL105053,C[C@@H](Nc1[nH]cnc2nc(-c3ccccc3)cc1-2)c1ccccc1,8.481486060122112
184,CHEMBL1914461,Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,8.481486060122112
185,CHEMBL3403517,COc1ccc2c(c1)CCCN2c1nc(C)nc2oc(C)cc12,8.468521082957745
186,CHEMBL39715,COC(=O)CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,8.468521082957745
187,CHEMBL36164,OCCN(CCO)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,8.455931955649724
188,CHEMBL3805859,CCOc1cc2ncnc(Nc3ccc(C)cc3)c2c2c1OCCO2,8.443697499232712
189,CHEMBL1914653,Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.431798275933005
190,CHEMBL38199,Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,8.431798275933005
191,CHEMBL40130,Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,8.431798275933005
192,CHEMBL94431,COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OC,8.42021640338319
193,CHEMBL1914654,Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(F)cc1,8.42021640338319
194,CHEMBL3892567,OC[C@@H](Nc1ncnc2oc(-c3ccccc3)cc12)c1ccccc1,8.4089353929735
195,CHEMBL4217992,CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,8.4089353929735
196,CHEMBL3814846,CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,8.402304814074487
197,CHEMBL50344,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.397940008672037
198,CHEMBL209343,CNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,8.397940008672037
199,CHEMBL92812,CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.397940008672037
200,CHEMBL545541,COc1cc2ncnc(NCc3ccccc3)c2cc1OC.Cl,8.397940008672037
201,CHEMBL295961,CNc1ccc2cncnc2c1,8.397940008672037
202,CHEMBL3678952,COc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,8.397940008672037
203,CHEMBL470219,Fc1ccc(Nc2ncnc3nc(Nc4ccc(CN5CCCC5)cc4)sc23)cc1Cl,8.397940008672037
204,CHEMBL3947406,COc1ccccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2o1,8.397940008672037
205,CHEMBL1914665,Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.397940008672037
206,CHEMBL3678949,CC(C)n1c(Nc2ccc(F)c(Cl)c2)nc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,8.397940008672037
207,CHEMBL3961961,COc1ccc(-c2cc3c(N[C@H](CCO)c4ccccc4)ncnc3o2)cc1,8.397940008672037
208,CHEMBL3633774,NC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c2c1,8.397940008672037
209,CHEMBL250923,COc1cc2ncnc(/C=C/CCc3ccccc3)c2cc1OC,8.397940008672037
210,CHEMBL3674151,CC(C)n1c(Nc2ccc(F)c(Cl)c2)nc2cnc(Nc3ccc(C(=O)NN4CCN(C)CC4)cc3F)nc21,8.397940008672037
211,CHEMBL3760071,COC(=O)c1cc(OC)c(-c2cc3c(N[C@H](C)c4ccccc4)ncnc3s2)c(OC)c1,8.397940008672037
212,CHEMBL4242522,CCc1ccc(N(C)c2ncnc3occ(C)c23)cc1,8.397940008672037
